run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
simple_triad_stride_deg4_dist1_l1d_ddr4_1x,simple_triad,stride,deg4_dist1,l1d,ddr4_1x,0.002456,2455950591.0,3509957.0,7375228.0,0.475914,1975949.0,2003765.0,375386.0,375396.0,374212.0,1807.0,5.0,,,,0.002897,1.1795602605863191,374212.0,1807.0,5.0,0.0048288136136735,1.3361410109777345e-05,0.9861181326153516,0.9999733614636276,stride: deg4_dist1
simple_triad_stride_deg1_dist8_l1d_ddr4_2x,simple_triad,stride,deg1_dist8,l1d,ddr4_2x,0.001824,1823597577.0,3510110.0,5476269.0,0.640971,1746464.0,2003828.0,375396.0,375406.0,320707.0,51040.0,12.0,,,,0.002605,1.4281798245614037,320707.0,51040.0,12.0,0.159148381544525,3.741733108413599e-05,0.871563826835437,0.9999733621732204,stride: deg1_dist8
simple_triad_stride_deg4_dist4_l2_ddr4_1x,simple_triad,stride,deg4_dist4,l2,ddr4_1x,0.002364,2364466833.0,3510082.0,7100501.0,0.494345,1925586.0,2003826.0,301979.0,375368.0,,,,559192.0,73379.0,8.0,0.002897,1.2254653130287647,559192.0,73379.0,8.0,0.131223264996638,1.430635631411036e-05,0.9609546936710074,0.8044878625775239,stride: deg4_dist4
simple_triad_stride_deg8_dist4_l2_ddr4_2x,simple_triad,stride,deg8_dist4,l2,ddr4_2x,0.001588,1588193550.0,3510133.0,4769350.0,0.735981,1910430.0,2003830.0,196608.0,374476.0,,,,688308.0,177858.0,397.0,0.002605,1.6404282115869018,688308.0,177858.0,397.0,0.2583988563259471,0.000576776675558,0.9533892595679274,0.5250216302246339,stride: deg8_dist4
spmv_stride_deg32_dist1_l1d_ddr4_1x,spmv,stride,deg32_dist1,l1d,ddr4_1x,0.006194,6194421378.0,11279581.0,18601866.0,0.607658,1681965.0,4826118.0,545577.0,2007319.0,4272257.0,163799.0,303332.0,,,,0.010599,1.7111721020342268,4272257.0,163799.0,303332.0,0.0383401560346205,0.0710004103217573,0.3485130284837627,0.2717938703315218,stride: deg32_dist1
spmv_stride_deg32_dist1_l1d_ddr4_2x,spmv,stride,deg32_dist1,l1d,ddr4_2x,0.00568,5680147500.0,11279576.0,17057500.0,0.662674,1682633.0,4826587.0,545717.0,2011717.0,4321198.0,163543.0,307488.0,,,,0.009047,1.592781690140845,4321198.0,163543.0,307488.0,0.037846680480737,0.0711580445978175,0.3486175635081269,0.2712692689876359,stride: deg32_dist1
spmv_stride_deg32_dist1_l2_ddr4_1x,spmv,stride,deg32_dist1,l2,ddr4_1x,0.006546,6546278835.0,11279576.0,19658495.0,0.574997,2172103.0,4827407.0,352583.0,1686915.0,,,,4516563.0,192429.0,10995.0,0.010599,1.6191567369385886,4516563.0,192429.0,10995.0,0.0426051845175191,0.0024343732169793,0.4499523243016385,0.2090105310581742,stride: deg32_dist1
spmv_stride_deg32_dist16_l2_ddr4_2x,spmv,stride,deg32_dist16,l2,ddr4_2x,0.005872,5872346109.0,11279581.0,17634673.0,0.640986,2645635.0,4826950.0,399921.0,1686669.0,,,,3072068.0,144333.0,9131.0,0.009047,1.5407016348773843,3072068.0,144333.0,9131.0,0.0469823584634194,0.0029722649368438,0.5480966241622557,0.2371069842393498,stride: deg32_dist16
bfs_stride_deg4_dist1_l1d_ddr4_1x,bfs,stride,deg4_dist1,l1d,ddr4_1x,0.021081,21081084480.0,30729211.0,63306560.0,0.485404,5210553.0,11432525.0,1582697.0,3734854.0,1521371.0,244285.0,182621.0,,,,0.02764,1.3111332479483897,1521371.0,244285.0,182621.0,0.1605689867888897,0.1200371244094964,0.4557657210458757,0.4237640882347743,stride: deg4_dist1
bfs_stride_deg8_dist1_l1d_ddr4_2x,bfs,stride,deg8_dist1,l1d,ddr4_2x,0.01884,18839716758.0,30729211.0,56575726.0,0.543152,5004274.0,11348693.0,1657096.0,3858158.0,2576618.0,273427.0,288725.0,,,,0.025176,1.3363057324840766,2576618.0,273427.0,288725.0,0.1061185631707921,0.1120558033825736,0.4409559761639512,0.4295044422753034,stride: deg8_dist1
