benchmark,pf_level,memory,run,prefetcher,stage,config,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,speedup_vs_stage2_best,improvement_over_stage2_best_pct
bfs,l2,ddr4_2x,bfs_imp3_s32_ipd8_addr8_l2_ddr4_2x,imp,stage3,s32_ipd8_addr8,0.021006,21005588385.0,30729211.0,63079845.0,0.487148,6599597.0,11404095.0,1341934.0,3529215.0,,,,2196247.0,390524.0,1084991.0,0.025176,1.1985147100828335,2196247.0,390524.0,1084991.0,0.17781424402628665,0.4940204813028771,0.5787041409248169,0.38023583148093837,s16_pt8_sth2,0.021377,1.1777143659072835,1.017661620489384,1.7661620489384022
matmult,l2,ddr4_1x,matmult_imp3_s32_ipd8_addr8_l2_ddr4_1x,imp,stage3,s32_ipd8_addr8,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,,,,5773.0,3771.0,23.0,0.001279,1.0614107883817427,5773.0,3771.0,23.0,0.65321323402044,0.00398406374501992,0.5420075570735013,0.0015507578179007068,s16_pt8_sth2,0.001221,1.0475020475020473,1.0132780082987554,1.3278008298755362
merge,l2,ddr4_1x,merge_imp3_s32_ipd16_addr16_l2_ddr4_1x,imp,stage3,s32_ipd16_addr16,0.010153,10152784386.0,37919464.0,30488842.0,1.243717,844646.0,11106045.0,17248.0,201240.0,,,,85093.0,54694.0,373.0,0.011631,1.145572737122033,85093.0,54694.0,373.0,0.6427555733139036,0.004383439295829269,0.07605281628158359,0.0857086066388392,s16_ipd16_addr16,0.010353,1.1234424804404521,1.019698611247907,1.969861124790695
merge,l2,ddr4_2x,merge_imp3_s32_l2_ddr4_2x,imp,stage3,s32,0.010051,10050759513.0,37919508.0,30182461.0,1.256344,848023.0,11105968.0,13428.0,201366.0,,,,91714.0,58643.0,357.0,0.011697,1.1637647995224358,91714.0,58643.0,357.0,0.6394116492574743,0.0038925354907647686,0.07635741431994042,0.06668454456065076,aggr_s16_sth2_d32_ipd16,0.010224,1.1440727699530517,1.0172122176897822,1.7212217689782205
quick,l2,ddr4_1x,quick_imp3_s32_l2_ddr4_1x,imp,stage3,s32,0.008652,8652488517.0,24424723.0,25983449.0,0.940425,234259.0,9220556.0,2191.0,82825.0,,,,28315.0,26303.0,19.0,0.009731,1.124711049468331,28315.0,26303.0,19.0,0.9289422567543705,0.0006710224262758256,0.025406168565106052,0.026453365529731362,s16,0.008812,1.1042896050839763,1.0184928340268147,1.8492834026814675
quick,l2,ddr4_2x,quick_imp3_s32_dist32_addr16_l2_ddr4_2x,imp,stage3,s32_dist32_addr16,0.008626,8626164534.0,24424723.0,25904398.0,0.943295,233143.0,9219528.0,2193.0,82824.0,,,,28397.0,26300.0,19.0,0.00967,1.1210294458613494,28397.0,26300.0,19.0,0.9261541712152692,0.0006690847624749093,0.02528795400371906,0.02647783251231527,s16_dist8_addr16,0.008729,1.107801580937106,1.0119406445629493,1.1940644562949299
simple_triad,l1d,ddr4_2x,simple_triad_imp3_s64_sth8_pt8_l1d_ddr4_2x,imp,stage3,s64_sth8_pt8,0.001992,1991676996.0,3510081.0,5981012.0,0.586874,1368674.0,2003842.0,375407.0,375417.0,545558.0,150579.0,1.0,,,,0.002605,1.3077309236947792,545558.0,150579.0,1.0,0.27600915026449985,1.8329856770499196e-06,0.6830249091495237,0.9999733629537287,s16_sth8,0.0021,1.2404761904761905,1.0542168674698795,5.421686746987953
simple_triad,l2,ddr4_2x,simple_triad_imp3_s32_sth2_l2_ddr4_2x,imp,stage3,s32_sth2,0.001765,1764783783.0,3510115.0,5299651.0,0.662333,1904487.0,2003830.0,139906.0,373481.0,,,,572652.0,233565.0,647.0,0.002605,1.4759206798866855,572652.0,233565.0,647.0,0.4078655099432116,0.0011298310317609996,0.9504234391140965,0.3746000465887154,s16_pt8_sth2,0.00191,1.3638743455497382,1.0821529745042493,8.21529745042493
spmv,l2,ddr4_1x,spmv_imp3_s32_sth8_l2_ddr4_1x,imp,stage3,s32_sth8,0.005975,5975163855.0,11279576.0,17943435.0,0.629956,2258345.0,4827549.0,343390.0,1687040.0,,,,362184.0,208415.0,16822.0,0.010599,1.7738912133891214,362184.0,208415.0,16822.0,0.5754395555850065,0.046446005345349324,0.4678036411437771,0.20354585546282244,s16_pt8_sth8,0.006186,1.7133850630455871,1.0353138075313806,3.531380753138058
spmv,l2,ddr4_2x,spmv_imp3_s32_sth2_dist32_ipd16_l2_ddr4_2x,imp,stage3,s32_sth2_dist32_ipd16,0.005304,5304447909.0,11279581.0,15929273.0,0.70961,2258183.0,4827520.0,344646.0,1687026.0,,,,378169.0,207279.0,16856.0,0.009047,1.7056938159879336,378169.0,207279.0,16856.0,0.5481120874529641,0.044572664602333875,0.4677728937425428,0.20429205003360945,aggr_s16_sth2_d32_ipd16_addr16,0.00558,1.6213261648745518,1.0520361990950227,5.203619909502266
